epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.8297,1.12877,2.98045,1.6056,0.44416,0.17716,0.17684,0.11592,1.21254,2.96196,1.81918,0.0668085,3.32248e-05,3.32248e-05
2,142.36,1.06301,2.04342,1.54528,0.45035,0.49322,0.44377,0.30502,1.10428,1.73197,1.67538,0.0335085,6.65509e-05,6.65509e-05
3,212.766,1.01585,1.71018,1.48186,0.54566,0.58117,0.55998,0.38699,1.04117,1.46602,1.60023,0.000208426,9.9848e-05,9.9848e-05
4,283.863,0.99312,1.48909,1.472,0.65802,0.57026,0.63545,0.45285,1.00943,1.38872,1.56909,9.99023e-05,9.99023e-05,9.99023e-05
5,355.884,0.97098,1.3731,1.43893,0.56111,0.67007,0.65625,0.4712,0.99819,1.26203,1.52353,9.98264e-05,9.98264e-05,9.98264e-05
6,427.722,0.94818,1.29876,1.42811,0.63796,0.65677,0.6762,0.48757,0.99602,1.22207,1.54174,9.97288e-05,9.97288e-05,9.97288e-05
7,499.271,0.93633,1.21746,1.41589,0.63115,0.70376,0.69978,0.50238,0.99629,1.17471,1.54679,9.96097e-05,9.96097e-05,9.96097e-05
8,571.48,0.92663,1.16287,1.39899,0.64698,0.69432,0.68966,0.49633,0.98387,1.15807,1.53005,9.9469e-05,9.9469e-05,9.9469e-05
9,643.563,0.91248,1.11201,1.39434,0.67595,0.72666,0.7361,0.5308,0.98643,1.08246,1.50796,9.93068e-05,9.93068e-05,9.93068e-05
10,715.591,0.91082,1.08561,1.38543,0.66154,0.70931,0.71623,0.51501,0.97341,1.12173,1.5017,9.91232e-05,9.91232e-05,9.91232e-05
11,787.822,0.89755,1.03289,1.37743,0.67067,0.71959,0.72164,0.52968,0.96156,1.06627,1.49106,9.89183e-05,9.89183e-05,9.89183e-05
12,859.399,0.88555,1.01055,1.3648,0.69868,0.73444,0.75077,0.55229,0.95909,1.03508,1.48513,9.86922e-05,9.86922e-05,9.86922e-05
13,931.583,0.88053,0.97689,1.36252,0.65881,0.71232,0.72773,0.52779,0.97287,1.0784,1.51193,9.84449e-05,9.84449e-05,9.84449e-05
14,1003.92,0.87018,0.96178,1.35562,0.70414,0.72738,0.75733,0.55574,0.95251,1.03251,1.49439,9.81765e-05,9.81765e-05,9.81765e-05
15,1076,0.85337,0.91087,1.33692,0.70304,0.7171,0.74833,0.54381,0.97097,1.05502,1.49447,9.78873e-05,9.78873e-05,9.78873e-05
16,1148.16,0.85835,0.91022,1.34143,0.70175,0.75564,0.76211,0.5587,0.96027,0.98012,1.48802,9.75773e-05,9.75773e-05,9.75773e-05
17,1220.09,0.83459,0.86484,1.31925,0.71864,0.72716,0.77626,0.57614,0.94927,0.95432,1.48565,9.72466e-05,9.72466e-05,9.72466e-05
18,1291.92,0.83485,0.8548,1.3154,0.74567,0.75112,0.79045,0.58359,0.93919,0.9222,1.48979,9.68955e-05,9.68955e-05,9.68955e-05
19,1363.98,0.82301,0.84062,1.30928,0.70879,0.73615,0.76027,0.55881,0.94815,0.96155,1.47059,9.65239e-05,9.65239e-05,9.65239e-05
20,1436.13,0.81973,0.81883,1.30546,0.74514,0.74283,0.78105,0.57799,0.96061,0.94974,1.49244,9.61322e-05,9.61322e-05,9.61322e-05
21,1508.59,0.80932,0.79836,1.29204,0.72068,0.74733,0.77174,0.56805,0.96112,0.97267,1.497,9.57205e-05,9.57205e-05,9.57205e-05
22,1580.75,0.79744,0.77584,1.28214,0.75141,0.7434,0.78745,0.5859,0.94878,0.94598,1.48831,9.52889e-05,9.52889e-05,9.52889e-05
23,1652.79,0.80166,0.77785,1.28781,0.73397,0.75111,0.78926,0.5858,0.95825,0.96385,1.4844,9.48377e-05,9.48377e-05,9.48377e-05
24,1725.13,0.79413,0.74921,1.27225,0.74955,0.74246,0.77605,0.56983,0.97182,0.98669,1.51192,9.43671e-05,9.43671e-05,9.43671e-05
25,1797.13,0.79104,0.75425,1.28184,0.75452,0.76216,0.79228,0.58226,0.9473,0.90862,1.48352,9.38772e-05,9.38772e-05,9.38772e-05
26,1869.84,0.79105,0.73253,1.27036,0.71187,0.76352,0.78214,0.58272,0.94556,0.94801,1.491,9.33683e-05,9.33683e-05,9.33683e-05
